evid,mag,t0,lon,lat,feltreport
665884,4.7,2018-05-13 04:28:02,45.1800,-13.0800,23
666143,4.5,2018-05-14 04:12:01,45.6500,-12.8300,18
666262,5.1,2018-05-14 14:41:42,45.6000,-12.8700,68
666452,4.8,2018-05-15 11:26:49,45.6100,-12.8800,19
666504,5.8,2018-05-15 15:48:11,45.5600,-12.9700,220
666545,4.7,2018-05-15 20:25:16,45.5200,-12.9300,84
666865,4.4,2018-05-16 19:32:44,45.6300,-12.7400,102
667353,4.3,2018-05-18 05:58:53,45.7400,-12.7900,104
667656,4.2,2018-05-19 13:11:32,45.6500,-13.1300,94
711159,4.6,2018-05-19 14:18:59,45.7000,-12.7700,
667653,4.5,2018-05-19 20:38:54,45.7700,-12.8300,19
667548,4.9,2018-05-19 21:00:00,45.6400,-12.8700,136
667632,5.3,2018-05-20 08:01:29,45.7000,-12.8700,231
667756,5.5,2018-05-21 00:47:16,45.6000,-12.9300,437
667785,4.5,2018-05-21 01:04:16,45.3800,-12.8400,
667953,4.5,2018-05-21 17:40:33,45.6600,-12.8600,90
668007,4.5,2018-05-22 03:29:08,45.2700,-12.9700,105
668094,5.0,2018-05-22 12:37:07,45.6100,-12.8700,289
705217,4.1,2018-05-23 08:09:10,45.6900,-12.7700,
668410,4.4,2018-05-23 16:40:38,45.4800,-12.9200,223
670734,4.6,2018-05-23 16:53:19,45.5800,-12.8200,
668437,4.5,2018-05-24 00:13:00,45.6000,-12.8100,26
668473,4.8,2018-05-24 04:23:57,45.6100,-12.8600,171
668751,4.6,2018-05-25 05:43:51,45.5900,-12.8500,81
668744,5.0,2018-05-25 06:36:03,45.7100,-12.9000,330
668795,5.0,2018-05-25 09:32:45,45.7000,-12.9200,199
668912,4.4,2018-05-25 17:29:22,45.4900,-12.9600,69
668987,4.8,2018-05-26 00:32:40,45.7500,-12.8300,211
705219,4.7,2018-05-26 04:02:47,45.6500,-12.8200,58
705220,4.3,2018-05-26 21:32:28,45.6400,-12.8100,36
669391,4.8,2018-05-27 14:23:26,45.6100,-12.8700,223
670850,4.2,2018-05-27 14:51:52,45.6100,-12.8800,
669789,4.9,2018-05-28 13:55:14,45.7600,-13.3600,159
669858,4.7,2018-05-28 17:09:27,45.5400,-12.9500,230
669922,4.7,2018-05-28 22:12:34,45.6500,-12.8300,361
672758,4.7,2018-05-29 15:53:34,45.5500,-12.8500,175
672524,4.6,2018-05-30 01:23:26,45.6500,-12.9000,16
670356,4.6,2018-05-30 05:52:43,45.6400,-12.9000,49
670349,5.0,2018-05-30 05:54:02,45.5300,-12.9200,454
670684,4.3,2018-05-30 06:52:03,45.7200,-12.8500,11
670683,4.6,2018-05-30 16:21:35,45.6300,-12.7800,144
672538,4.3,2018-05-30 16:27:56,45.7400,-12.7400,
670641,4.7,2018-05-30 19:11:20,44.9800,-13.0700,197
670715,4.8,2018-05-31 01:10:13,45.7500,-12.9200,100
670775,4.7,2018-05-31 08:43:50,45.6700,-12.8800,94
670963,4.7,2018-06-01 03:24:10,45.7100,-12.9100,262
671033,4.6,2018-06-01 03:35:52,45.0400,-12.8800,204
671044,4.8,2018-06-01 05:44:11,45.5300,-12.8000,
671051,4.7,2018-06-01 08:28:19,45.7000,-12.7700,89
711158,4.8,2018-06-01 15:39:23,45.7000,-12.7200,80
671398,4.7,2018-06-02 07:42:24,45.6200,-12.8800,129
671484,4.6,2018-06-02 17:39:22,45.4500,-12.9500,168
672442,4.4,2018-06-02 18:27:41,45.7400,-12.9600,
674574,4.6,2018-06-03 01:57:35,45.4000,-12.9600,28
674564,4.5,2018-06-03 02:36:52,45.7000,-12.8600,25
673228,4.3,2018-06-03 03:03:56,45.7000,-12.7200,6
671567,4.6,2018-06-03 03:25:48,45.7000,-12.8400,74
671588,5.0,2018-06-03 06:13:42,45.6000,-12.9400,225
671887,4.4,2018-06-03 17:01:58,45.5700,-12.9400,78
671946,4.4,2018-06-04 00:03:27,45.6600,-12.9400,43
711155,4.5,2018-06-04 09:04:49,45.7200,-12.7600,17
672114,4.8,2018-06-04 18:52:00,45.6400,-12.9500,27
672117,4.9,2018-06-04 19:53:33,45.6800,-12.9600,4
672130,4.9,2018-06-04 21:20:27,45.6600,-12.9400,17
672512,4.9,2018-06-05 23:02:44,45.7300,-12.9200,97
672595,4.9,2018-06-06 09:37:02,45.7500,-12.9200,118
678874,4.5,2018-06-06 20:03:59,45.6300,-12.8400,
673105,4.8,2018-06-07 13:06:52,45.7500,-12.9500,204
678918,4.5,2018-06-07 20:01:42,45.6200,-13.0300,
673220,4.8,2018-06-08 00:56:46,45.5700,-13.0800,91
673280,4.8,2018-06-08 03:31:31,45.6600,-13.1000,102
673465,4.9,2018-06-08 12:03:31,45.6800,-13.1200,136
673618,4.5,2018-06-08 22:34:47,45.4000,-13.2700,95
674103,4.9,2018-06-09 22:36:34,45.8500,-13.0700,52
676274,4.6,2018-06-10 04:09:04,45.6500,-13.0700,5
678007,4.5,2018-06-10 12:14:47,45.6100,-13.1100,18
676265,4.6,2018-06-10 13:04:38,45.6300,-13.2000,30
675308,5.3,2018-06-12 17:17:16,45.8500,-13.0800,577
678241,5.1,2018-06-18 13:43:00,45.7400,-13.0800,170
678891,4.6,2018-06-19 21:35:35,45.4200,-13.1600,122
711162,4.7,2018-06-19 22:57:23,45.7800,-12.7600,
680918,4.5,2018-06-22 12:50:03,45.7400,-12.9600,81
681228,4.8,2018-06-23 19:45:43,45.5800,-13.0400,263
681345,4.3,2018-06-24 00:12:32,45.6600,-12.9500,59
682377,5.1,2018-06-25 17:41:29,45.8600,-13.1100,250
683382,5.2,2018-06-27 06:40:57,45.7900,-13.1400,271
687010,4.5,2018-06-27 18:36:38,45.5100,-13.0100,
689902,4.4,2018-06-29 22:55:42,45.7300,-12.9400,
687065,4.5,2018-07-03 21:25:21,45.5600,-12.7700,38
705189,4.7,2018-07-05 02:55:58,45.6000,-12.7400,45
711163,4.2,2018-07-07 07:34:39,45.7000,-12.7900,9
711164,4.2,2018-07-16 17:20:21,45.6500,-12.7700,24
715225,4.2,2018-08-26 03:17:18,45.6900,-12.6100,
715226,4.1,2018-08-26 09:41:40,45.5500,-12.6600,56
715227,4.1,2018-08-26 15:42:00,45.4900,-12.5900,26
715228,4.2,2018-08-26 16:45:16,45.5100,-12.6100,115
715229,4.4,2018-08-26 17:11:12,45.5500,-12.6300,10
715232,4.3,2018-08-26 18:31:06,45.5300,-12.6100,62
715233,4.6,2018-08-26 20:02:58,45.5400,-12.6100,111
715235,4.2,2018-08-27 06:55:22,45.5300,-12.6200,13
715237,4.5,2018-08-27 23:45:40,45.5600,-12.6300,6
715238,4.2,2018-09-06 12:49:18,45.6500,-12.6500,6
715239,4.2,2018-09-07 04:14:46,45.6600,-12.6500,
713314,4.1,2018-09-17 02:11:04,45.6200,-12.8400,17
713657,4.7,2018-09-18 23:37:07,45.3600,-12.7900,89
715240,4.4,2018-09-23 05:54:30,45.6900,-12.8600,
715236,4.3,2018-09-24 02:45:23,45.6400,-12.6800,21
715899,4.5,2018-10-01 17:58:30,45.2100,-12.8100,112
